apples, drug, territory, bead, key, cabbage, minister, neck, jeans, income, credit, rifle, tomatoes, stem, needle, pigs, hour
-3, 1, fffe, O, 477370661911, 1028312, 0, -0.000122, 0.062500, 0, 1, 0, 1, 0, adjustment, 17, -8.903360
96, 0, f28e, _, -70482119, 4055, 1, 9810.547775, 0.000000, 0, 0, 0, 0, -232, volleyball, 27, -0.001778
3, 1, fffd, /, 17725840139120083, 14686033, 0, -0.009445, 2029.203125, 0, 1, 1, 1, 1079440715, page, 1, -0.005804
0, 0, ffd8, 2, -4843427768294495, 9, 0, 0.009949, -9.125000, 1, 0, 1, 0, -564794, use, 142, 570.281982
-1, 1, fd23, ^, -706237, 30, 1, -0.014542, 0.140625, 1, 1, 1, 0, 6861, giraffe, 25, 0.003415
108, 0, fff1, [, 15435529374, 183739, 0, 0.000092, 39.125000, 1, 0, 0, 1, -26, bean, 12, -0.000435
16, 1, ff9a, Q, -1272377, 52318, 0, -0.000214, 18853.843750, 1, 0, 0, 1, -112, boats, 1, 0.005111
8, 0, ff8e, W, -1675, 922, 1, 0.910019, -925.656250, 0, 1, 1, 1, 7516587, letters, 85, -0.000001
-8, 1, fcb8, V, -1002987891120, 519946, 0, 2788.897369, -2402618.109375, 0, 1, 1, 1, -45357, railway, 4, -0.000463
-2, 1, ffff, P, -4144734, 21538, 0, -570.653503, 9309317.000000, 0, 0, 0, 0, 942, rings, 1, -628.855408
-1, 1, 900e, 2, -785, 369, 0, -21.815048, -0.140625, 1, 1, 1, 0, -47209236, account, 11, 0.326964
-16, 1, 1c96, X, -1486946032, 679, 1, 5.384445, -3.765625, 0, 1, 0, 0, -1, , 3, 0.230842
36, 1, 9381, L, -355274384, 42589, 1, -0.026932, -155516.343750, 1, 1, 1, 0, -124, teeth, 6, 0.199123
-2, 1, ff66, y, 963457, 92555696, 0, 3.605469, -7368270.640625, 0, 0, 1, 0, -311, celery, 4, 0.051943
36, 1, 9381, V, 6, 12, 1, -0.026932, -57382.390625, 0, 1, 1, 0, -60790, fiction, 0, 0.159899
-1, 1, ff61, U, -197, 1288315, 1, -0.022491, 0.812500, 0, 0, 0, 0, -11754, comb, 5, 0.000001
-4, 1, fff5, >, 10640697781145, 11, 1, -934.956772, -0.015625, 1, 1, 0, 1, -49, plantation, 4, 0.000878
0, 1, c012, I, 167225503016, 1967055860, 0, -3.435974, 0.015625, 1, 1, 0, 1, -284, show, 43, 7.537240
0, 1, 3, U, -33720577290383, 124694407, 0, 934.402710, -1668.906250, 1, 1, 0, 0, -5710, , 1, -0.000004
1, 0, e, @, 915790736803452986, 8381, 1, 0.025375, 0.187500, 0, 1, 1, 0, 119471, government, 4, -0.006632
0, 0, fff8, k, -274088911, 2, 0, 0.124939, -3.296875, 0, 0, 1, 0, -24, net, 10, 827.498535
4, 1, ffc1, -, 87, 1, 1, -0.010178, -17.671875, 0, 0, 1, 0, -1, government, 0, 5.530938
72, 1, ffe2, S, -270, 646, 0, 0.000076, 84218.015625, 1, 0, 0, 0, 38071, stamp, 29, -0.000344
3, 0, 301, S, 74325, 84487385, 0, 0.000000, 6.062500, 1, 1, 1, 1, 3, hydrant, 84, -0.000112
-2, 1, ffe3, %, -1110010507, 163057831, 0, 0.172119, -977.734375, 1, 1, 1, 1, -702, farmer, 13, 0.027554
0, 0, 5c, D, -8039781977054534676, 121, 0, 54.177933, 0.390625, 1, 1, 0, 0, 62, bean, 127, -0.001056
-2, 0, fe6a, ~, -5, 862713111, 0, 0.681580, 1684188.812500, 0, 1, 1, 0, 7417, selection, 11, -10.859272
0, 0, 29, N, 188300715493183, 237774, 0, -0.000015, 1.453125, 1, 0, 1, 0, 66, trick, 1, -0.018837
-38, 0, ffea, 1, 13263, 24, 0, -4970.750305, 0.000000, 1, 1, 1, 0, 4543224, toothbrush, 27, -0.000038
-14, 0, fffe, $, -3264594937, 422, 0, -0.384995, 79.218750, 1, 1, 1, 0, 0, trees, 8, 0.002197
0, 1, 0, 6, -923102273502037, 17051, 1, 0.000870, 0.000000, 1, 0, 0, 0, 491975, calendar, 0, -33.885559
-1, 1, fdc7, q, 2, 46339647, 1, 0.011154, -46.578125, 1, 0, 1, 0, -1104, attraction, 1, -6.405446
-1, 0, ffea, e, -1, 19092661, 0, 0.681580, 2.921875, 0, 0, 1, 1, -4687, afternoon, 11, -10.859272
