apples, drug, territory, bead, key, cabbage, minister, neck, jeans, income, credit, rifle, tomatoes, stem, needle, pigs, hour
3, 0, 55, <, 1, 13148305, 0, 7663.330688, -398.125000, 1, 0, 1, 0, -16002597, station, 0, -0.239194
-5, 1, 86, i, -535832931488, 178303784, 1, 492.018661, -12.078125, 0, 1, 0, 1, -2074978507, , 112, -0.005152
15, 1, fff8, 7, 440349156109928651, 3, 1, -0.002457, 34.984375, 1, 1, 0, 0, 8, winter, 10, 0.000001
-10, 0, a, a, 437702294524, 438873, 1, -97.276428, 17.609375, 0, 1, 0, 0, 1643, bag, 62, 23.532265
18, 1, fffa, +, 14, 0, 1, -0.001022, 0.000000, 0, 1, 0, 1, -24, government, 116, -23.026089
-52, 1, 1a, v, -7743542893928461025, 632813621, 1, 0.043350, -214847.031250, 1, 1, 0, 0, 3287, winter, 18, -3.540345
31, 0, 4e6, E, -1696491, 178579183, 1, 1.634613, 0.562500, 1, 0, 1, 1, -4, pear, 112, -0.005152
-23, 0, fff8, l, -2316386371165, 864682, 1, -6273.186554, -312.093750, 0, 0, 0, 1, 75, plot, 3, 0.190997
-4, 1, 1f2f, R, 1078383406552975806, 22037559, 1, -0.001083, -3313.500000, 1, 1, 1, 1, -13874486, language, 2, -698.207214
-4, 0, 50f7, -, -657214, 1, 0, -0.000015, 665.031250, 0, 0, 1, 1, 2893, ornament, 25, 0.000002
-46, 0, 5c7, 7, 8, 1, 1, 0.000000, -27482.859375, 1, 1, 1, 1, -12203, veil, 17, 0.000006
-3, 1, 1a, s, 9, 632813621, 0, 0.282196, 102.890625, 1, 0, 1, 1, 25, mark, 18, -3.540345
-7, 0, 1eb4, p, -1804567242, 15, 0, 73.973328, -297.593750, 0, 0, 1, 1, -65296814, , 3, 0.000010
3, 1, fffa, y, 1, 261392, 1, 7663.330688, 1535437.500000, 1, 1, 1, 0, 2568, crime, 90, -0.239194
-5, 1, ffd1, ;, -1696491, 275366931, 0, 1.634613, 164389.843750, 0, 1, 1, 0, -4, houses, 204, -0.002815
31, 0, ffd1, B, -1696491, 275366931, 1, 11.075500, 351310.703125, 0, 0, 1, 0, -4, pear, 112, -0.005152
-2, 0, f67a, *, -1237204528569, 149, 1, -251.140152, 351310.703125, 0, 1, 1, 0, 85430565, writing, 204, -0.002815
-2, 0, 701, F, -3506239, 2, 1, -121.764999, 5.093750, 0, 1, 1, 0, 40, legs, 3, -0.000000
-2, 0, 701, F, -3506239, 2, 1, -0.000153, 5.093750, 0, 1, 1, 0, -111, peace, 3, -0.000000
0, 0, ffd4, v, 941834943346, 13148305, 0, -0.000046, 1535437.500000, 1, 0, 1, 0, -7, crime, 18, -3.540345
15, 0, 31, >, 0, 12070, 0, 1846.233978, -8866457.328125, 0, 1, 1, 1, -35, girl, 3, 0.013803
-4, 1, e, -, -58994507924, 2, 1, -121.764999, 5.093750, 1, 0, 1, 0, 0, peace, 3, -0.000000
-1, 1, ff0f, S, -10073371874226, 80463, 1, 7046.947556, -37.484375, 0, 0, 0, 1, 200, , 7, 13.159245
15, 1, 30d, s, 440349156109928651, 3, 1, 0.118286, 34.984375, 1, 0, 1, 1, -2957, winter, 10, 0.000001
-2, 1, 6, a, -1696491, 275366931, 0, 11.075500, -1.453125, 0, 1, 1, 0, -4, side, 204, -0.002815
-10, 0, 177, ?, 576, 712585850, 0, -2800.966919, 148.015625, 0, 0, 1, 0, 91201467, eggs, 18, 1.000000
15, 1, 54c, T, -11054982387521, 12070, 0, -13278.441711, 87.750000, 0, 1, 0, 1, 4003711, girl, 3, 0.013803
-1, 0, 50f7, 7, 55, 1, 0, 0.000854, 665.031250, 1, 1, 1, 1, 2893, pig, 17, 0.000002
-23, 1, 3, B, -1799616126246, 3938720, 1, 0.010269, -5368.625000, 0, 0, 1, 1, -2521324, , 3, 0.190997
15, 0, 8b8f, >, 0, 12070, 0, 1846.233978, 87.750000, 1, 1, 1, 0, -35, blade, 3, 0.013803
-5, 0, 0, G, 108327843601, 227639133, 1, -6.537674, 90497.328125, 0, 1, 1, 0, 91201467, scarecrow, 17, 3.203174
3, 0, 0, |, -3748708244578, 4599709, 1, -0.303787, -672396.031250, 0, 0, 0, 0, -20083781, crate, 5, -0.059769
-86, 0, fffe, |, 19148575188591294, 4599709, 1, -0.303787, -672396.031250, 1, 1, 0, 0, 40466, lace, 5, -0.059769
1, 0, 1eb4, p, -1804567242, 15, 0, 73.973328, -297.593750, 0, 1, 1, 1, -65296814, frog, 3, 0.000010
-46, 1, 1eb4, 7, 8, 15, 0, 73.973328, 5997.000000, 1, 0, 1, 1, 316281928, badge, 17, 0.000006
-1, 1, 50f7, A, 55, 11578, 0, -84.158478, -0.031250, 1, 1, 1, 0, 2893, map, 25, 0.000002
9, 1, 9, x, -58994507924, 2, 1, -121.764999, 5.093750, 0, 1, 0, 1, 108655, hand, 3, -0.000000
9, 1, f398, x, 440349156109928651, 13, 1, -0.000015, 34.984375, 0, 0, 0, 1, -889511768, plot, 10, 0.000001
-2, 1, 1eb4, f, 1995558903, 3705895513, 0, 1.000000, -297.593750, 0, 1, 0, 1, 316281928, visitor, 3, 0.000010
-4, 0, 50f7, -, -657214, 1, 0, -0.000015, -0.031250, 1, 0, 1, 1, 2893, health, 25, 0.000002
5, 1, 177, G, -8, 227639133, 0, -2800.966919, 148.015625, 0, 0, 1, 0, 91201467, attraction, 17, 3.203174
-5, 0, fffd, i, 0, 178303784, 1, 14055.675369, -25.859375, 1, 1, 0, 1, 62768, tray, 112, -0.005152
0, 1, 1f2f, ^, 436, 22037559, 1, -0.001083, 0.000000, 1, 1, 1, 1, -12, government, 0, -23.026089
-46, 0, ffff, }, 706464349, 15, 1, 0.000854, 7.218750, 1, 1, 1, 0, -12203, toothbrush, 17, 0.000006
0, 1, ffff, j, -9044603138819, 21, 1, -0.157532, -0.093750, 0, 0, 0, 0, 6, loss, 1, -3.540345
107, 1, e, @, -58994507924, 960229, 1, -10815.735992, 5.093750, 0, 0, 1, 0, 0, writing, 211, -0.000033
-11, 0, ff0f, S, -2027, 80463, 0, 7046.947556, -37.484375, 1, 0, 1, 1, 200, wrist, 7, 13.159245
-7, 0, ffc0, %, -3748708244578, 4599709, 1, -0.303787, 0.109375, 0, 1, 0, 0, -29, lace, 5, -0.059769
9, 1, 72f, N, -753, 116715252, 0, 0.000092, 5.093750, 1, 0, 1, 0, -123286, playground, 0, 0.000001
4, 0, fffd, i, -1119, 116715252, 0, 0.000092, -11.734375, 1, 0, 0, 0, -123286, bread, 0, 0.000001
5, 0, 177, ?, -8, 227639133, 1, -6.537674, 148.015625, 0, 0, 1, 0, 91201467, attraction, 17, 3.203174
0, 0, 897b, :, -1054088090, 80463, 0, 14.911331, -37.484375, 0, 0, 0, 1, 200, basketball, 7, 13.159245
-16, 0, fa7b, [, -1874500004877156215, 438873, 1, 0.000046, 17.609375, 1, 1, 0, 0, 1643, tramp, 62, 23.532265
107, 1, ffd1, S, -1696491, 275366931, 0, 11.075500, -1.453125, 0, 1, 1, 0, -4, side, 204, -0.002815
3, 0, 1eb4, r, 706464349, 15, 1, 16.646698, 7.218750, 1, 0, 1, 0, 316281928, toothbrush, 0, 0.000010
-1, 1, e507, L, 908729651497, 438873, 0, -0.317490, 17.609375, 0, 0, 1, 1, 63414602, , 62, 23.532265
